Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Text Area 1
1,Page,,,,,,,,,Page 2
2,Rectangle Container,UML,1,,,,,,,
3,Circle,Geometric Shapes,1,2,,,,,,Verification
4,Circle,Geometric Shapes,1,2,,,,,,Record grades 
5,Circle,Geometric Shapes,1,2,,,,,,"View Enrolled 
Students"
6,Circle,Geometric Shapes,1,2,,,,,,Indicate courses
7,Text,Standard,1,,,,,,, 
8,Circle,Geometric Shapes,1,,,,,,,Request Course Catalogue
9,Circle,Geometric Shapes,1,,,,,,,Access Report Card
10,Circle,Geometric Shapes,1,,,,,,,"Add/Drop
Course
Choices"
11,Actor,UML,1,,,,,,,Student
12,Actor,UML,1,,,,,,,Professor
13,Circle,Geometric Shapes,1,,,,,,,Verification
14,Actor,UML,1,,,,,,,Auth DB
15,Actor,UML,1,,,,,,,Course catalog
16,Circle,Geometric Shapes,1,,,,,,,Fee Payment
17,Actor,UML,1,,,,,,,Auth DB
18,Text,Standard,1,,49,,,,,"Billing 
System"
19,Actor,UML,1,,49,,,,,
20,Actor,UML,1,,,,,,,Course catalog
21,Actor,UML,1,,,,,,,System DB
22,Circle,Geometric Shapes,1,,,,,,,Check Availability
23,Actor,UML,1,,,,,,,System DB
24,Line,,1,,,10,13,None,Arrow,<<include>>
25,Line,,1,,,13,8,Arrow,None,<<include>>
26,Line,,1,,,13,14,None,None,
27,Line,,1,,,11,10,None,None,
28,Line,,1,,,11,8,None,None,
29,Line,,1,,,15,8,None,None,
30,Line,,1,,,11,9,None,None,
31,Line,,1,,,11,16,None,None,
32,Line,,1,,,19,16,None,None,
33,Line,,1,,,22,21,None,None,
34,Line,,1,,,10,22,None,Arrow,<<include>>
35,Line,,1,,,8,22,None,Arrow,
36,Line,,1,,,9,13,None,Arrow,
37,Line,,1,,,16,13,None,Arrow,
38,Line,,1,,,6,3,None,None,
39,Line,,1,,,4,3,None,None,
40,Line,,1,,,5,3,None,None,
41,Line,,1,,,12,6,None,None,
42,Line,,1,,,12,4,None,None,
43,Line,,1,,,12,5,None,None,
44,Line,,1,,,6,20,None,None,
45,Line,,1,,,3,17,None,None,
46,Line,,1,,,5,23,None,None,
47,Line,,1,,,4,23,None,None,
48,Line,,1,,,6,23,None,None,
49,Group 1,,1,,,,,,,
